time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),precipitation (mm),rain (mm),snowfall (cm),snow_depth (m),weather_code (wmo code),pressure_msl (hPa),surface_pressure (hPa),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°),wind_gusts_10m (km/h)
2022-01-01T00:00,7.5,100,7.5,0,0,0,0,3,1013.5,1007.2,100,100,96,94,4.2,8.3,149,185,6.8
2022-01-01T01:00,7.7,100,7.6,0,0,0,0,3,1013.4,1007.1,100,100,51,100,5.1,11.4,172,193,7.6
2022-01-01T02:00,7.8,100,7.7,0,0,0,0,3,1013.4,1007.1,100,100,98,100,4.2,8.4,149,190,9.4
2022-01-01T03:00,7.5,100,7.4,0,0,0,0,3,1012.5,1006.2,100,100,100,100,6.4,9.4,133,157,10.4
2022-01-01T04:00,7.4,100,7.4,0.1,0.1,0,0,51,1012.4,1006.1,100,100,100,100,4.7,8.7,99,142,12.6
2022-01-01T05:00,7.6,100,7.6,0.1,0.1,0,0,51,1011.2,1004.9,100,100,100,100,9.1,16.7,146,161,13.7
2022-01-01T06:00,8.2,100,8.1,1.1,1.1,0,0,55,1010.4,1004.2,100,100,100,100,7.4,16.5,151,170,13.3
2022-01-01T07:00,8.4,100,8.3,1.1,1.1,0,0,55,1010.2,1004,100,100,100,100,5.2,14.4,155,179,15.1
2022-01-01T08:00,8,100,7.9,0.5,0.5,0,0,53,1010.3,1004.1,100,100,100,100,2.8,2.2,40,189,9
2022-01-01T09:00,9.1,100,9.1,0.7,0.7,0,0,53,1010.1,1003.9,100,84,100,100,6.9,11.3,133,158,10.4
2022-01-01T10:00,9.6,100,9.6,0.7,0.7,0,0,53,1010.4,1004.2,100,100,100,100,8,14.2,188,196,11.9
2022-01-01T11:00,9.9,100,9.9,0.8,0.8,0,0,53,1010.8,1004.6,100,40,100,100,10.4,19.1,214,223,15.8
2022-01-01T12:00,11,98,10.7,0.5,0.5,0,0,53,1009.6,1003.4,98,9,100,100,11,20.7,218,230,17.3
2022-01-01T13:00,11.2,98,10.9,0.6,0.6,0,0,53,1008.5,1002.3,100,17,100,100,12.5,22.5,219,231,19.1
2022-01-01T14:00,11.4,98,11.2,0.8,0.8,0,0,53,1007.5,1001.4,100,12,100,100,9.5,19.3,233,243,19.1
2022-01-01T15:00,11.6,98,11.3,0.4,0.4,0,0,51,1007.3,1001.2,100,11,100,100,9.2,17.5,219,233,14.4
2022-01-01T16:00,11.4,99,11.2,0.1,0.1,0,0,51,1006.5,1000.4,90,0,100,100,7.7,16.9,221,236,14.8
2022-01-01T17:00,10.9,100,10.9,0.3,0.3,0,0,51,1006.3,1000.2,91,1,100,100,5.9,9.7,232,248,11.5
2022-01-01T18:00,10.3,100,10.3,1.4,1.4,0,0,61,1005.9,999.7,100,100,100,100,2.9,3.1,120,201,6.5
2022-01-01T19:00,10.1,100,10.1,0.8,0.8,0,0,53,1005.8,999.6,100,100,100,100,3.3,4.7,13,4,4.7
2022-01-01T20:00,9.3,100,9.3,1.7,1.7,0,0,61,1006.2,1000,100,100,100,100,4.6,4.6,108,45,11.2
2022-01-01T21:00,10.6,100,10.5,1.2,1.2,0,0,55,1005.2,999,100,100,100,100,6.1,10.9,93,84,9
2022-01-01T22:00,10.6,100,10.6,1.2,1.2,0,0,55,1004.3,998.2,100,100,100,100,7.2,14.8,63,77,18
2022-01-01T23:00,10.7,99,10.6,3.3,3.3,0,0,63,1002.8,996.7,100,100,100,100,12.9,23.9,60,69,25.9
2022-01-02T00:00,10.5,98,10.1,9.1,9.1,0,0,65,1002.8,996.7,100,100,100,100,19.2,31.7,355,8,31
2022-01-02T01:00,10.5,97,10.1,7.8,7.8,0,0,65,999.4,993.3,77,0,79,100,20.6,38.2,86,91,49
2022-01-02T02:00,10.1,96,9.5,0.1,0.1,0,0,51,999.6,993.5,100,22,94,98,11.5,16.6,340,13,31.3
2022-01-02T03:00,9.5,99,9.3,0.1,0.1,0,0,51,1000.5,994.4,100,69,100,100,11.8,22.9,340,352,25.9
2022-01-02T04:00,9.5,98,9.3,0.5,0.5,0,0,53,1001,994.9,96,7,100,100,11.8,21.7,348,355,18.4
2022-01-02T05:00,9.6,98,9.2,0.1,0.1,0,0,51,1001.5,995.4,90,0,100,100,8,18.6,333,342,18.4
2022-01-02T06:00,9.2,98,8.9,0.2,0.2,0,0,51,1001.7,995.5,98,9,100,100,5,12.1,300,323,12.2
2022-01-02T07:00,8.6,99,8.5,0,0,0,0,3,1000.9,994.7,92,2,100,100,4.6,9.1,309,326,7.2
2022-01-02T08:00,8.9,100,8.9,0,0,0,0,3,1001.4,995.2,100,100,97,100,4.2,4.6,290,342,7.2
2022-01-02T09:00,10.2,99,10.1,0,0,0,0,3,1001.6,995.5,100,100,100,100,2.8,2.5,230,225,5.4
2022-01-02T10:00,10.6,98,10.4,0,0,0,0,3,1002.1,996,100,100,8,100,5.8,8.9,210,220,9.7
2022-01-02T11:00,11.6,95,10.9,0,0,0,0,3,1003,996.9,100,100,100,100,11.8,15.5,232,239,20.2
2022-01-02T12:00,12.1,94,11.2,0,0,0,0,3,1003.1,997,100,93,36,100,15,21.3,235,240,23.8
2022-01-02T13:00,13,91,11.6,0,0,0,0,3,1002.6,996.5,100,100,4,100,16.6,22.9,246,248,27
2022-01-02T14:00,13.6,87,11.5,0,0,0,0,3,1002.9,996.8,100,100,69,99,19.9,28.6,274,275,32.4
2022-01-02T15:00,12.7,87,10.6,0,0,0,0,3,1003.5,997.4,100,100,0,100,14.7,21.2,306,305,32
2022-01-02T16:00,12.1,84,9.5,0,0,0,0,3,1004.8,998.7,100,100,0,100,15.3,22.7,321,318,24.1
2022-01-02T17:00,11,79,7.5,0,0,0,0,3,1006.2,1000.1,100,57,68,100,18.6,28.5,317,315,29.2
2022-01-02T18:00,8.9,75,4.7,0,0,0,0,2,1008.5,1002.3,64,21,25,100,21.1,33.6,316,315,33.5
2022-01-02T19:00,7.5,67,1.8,0,0,0,0,3,1010.1,1003.9,95,6,99,100,22.4,33.9,312,314,36
2022-01-02T20:00,6.2,81,3.2,0,0,0,0,3,1011.4,1005.1,89,4,92,100,24.8,39.3,324,325,40.7
2022-01-02T21:00,4.9,71,0,0,0,0,0,2,1013.1,1006.8,72,3,66,100,26.6,39.2,327,328,44.3
2022-01-02T22:00,3.5,63,-2.9,0,0,0,0,3,1013.9,1007.5,92,2,100,100,22.9,34.3,330,332,42.8
2022-01-02T23:00,2.7,59,-4.6,0,0,0,0,2,1014.7,1008.3,59,0,48,100,19.8,29.3,331,334,37.1
2022-01-03T00:00,2,58,-5.3,0,0,0,0,1,1015.7,1009.3,36,0,10,100,18.2,27,330,333,33.8
2022-01-03T01:00,1.6,58,-5.8,0,0,0,0,2,1016.9,1010.5,68,0,64,100,16.9,24.5,333,336,29.2
2022-01-03T02:00,1.3,58,-6.2,0,0,0,0,2,1017.2,1010.8,64,0,56,100,17.5,24.8,341,343,29.9
2022-01-03T03:00,0.9,57,-6.6,0,0,0,0,3,1018.6,1012.1,90,0,100,100,16.1,22.6,340,343,28.8
2022-01-03T04:00,0.6,57,-7.1,0,0,0,0,3,1019,1012.5,90,0,100,100,16.7,23.2,346,348,28.1
2022-01-03T05:00,0.3,57,-7.2,0,0,0,0,3,1019.4,1012.9,90,0,100,100,15.9,21.6,3,4,28.4
2022-01-03T06:00,-0.1,55,-8.1,0,0,0,0,3,1018.9,1012.4,90,0,100,100,16.6,22.7,27,27,29.9
2022-01-03T07:00,-0.7,50,-9.8,0,0,0,0,3,1019.8,1013.3,90,0,100,100,19.7,27.2,18,18,33.5
2022-01-03T08:00,0.4,57,-7.1,0,0,0,0,3,1019.1,1012.6,90,0,100,100,19.9,27.5,4,5,40.3
2022-01-03T09:00,-0.3,49,-9.8,0,0,0,0,3,1019.6,1013.1,90,0,100,100,21.7,29.9,15,15,35.6
2022-01-03T10:00,-0.9,45,-11.3,0,0,0,0,3,1021.2,1014.7,90,0,100,100,21.5,29.8,9,8,39.2
2022-01-03T11:00,-1.6,44,-12.1,0.1,0,0.07,0,71,1020.9,1014.4,90,0,100,100,23.6,33,7,8,44.6
2022-01-03T12:00,-2.1,47,-11.9,0.3,0,0.21,0.01,73,1020.6,1014.1,90,0,100,100,22.7,31.3,18,17,39.2
2022-01-03T13:00,-2.5,49,-11.7,0.5,0,0.35,0.02,73,1019,1012.5,90,0,100,100,23.7,32.3,13,14,41
2022-01-03T14:00,-2.8,51,-11.5,0.3,0,0.21,0.02,73,1017.2,1010.7,90,0,100,100,27.7,37.9,9,9,46.1
2022-01-03T15:00,-2.7,52,-11.1,0.3,0,0.21,0.03,73,1016.5,1010,90,0,100,100,27,37.1,3,3,46.8
2022-01-03T16:00,-2.5,51,-11.1,0.2,0,0.14,0.03,71,1018.3,1011.8,88,0,98,98,23.8,33.2,2,2,47.5
2022-01-03T17:00,-2.6,49,-11.9,0.2,0,0.14,0.03,71,1016.7,1010.2,88,0,99,95,30.9,43.8,353,354,55.8
2022-01-03T18:00,-2.8,44,-13.3,0,0,0,0.03,3,1018.9,1012.4,88,0,98,99,24.6,35,354,356,50.8
2022-01-03T19:00,-3,40,-14.7,0,0,0,0.03,3,1019.3,1012.8,89,0,99,100,27,39.2,358,359,44.6
2022-01-03T20:00,-2.7,42,-13.7,0,0,0,0.03,1,1021.3,1014.7,43,0,22,100,25.4,36.2,353,354,44.6
2022-01-03T21:00,-3,44,-13.6,0,0,0,0.03,0,1022.2,1015.6,0,0,0,0,21.3,31,356,356,41.8
2022-01-03T22:00,-3.7,49,-12.9,0,0,0,0.03,0,1023,1016.4,0,0,0,0,16.9,27.7,349,351,34.9
2022-01-03T23:00,-4.3,51,-12.8,0,0,0,0.03,0,1023.6,1017,0,0,0,0,16.9,26.9,340,342,28.8
2022-01-04T00:00,-4.8,49,-14,0,0,0,0.03,0,1024.1,1017.5,0,0,0,0,18.5,28.9,339,341,31
2022-01-04T01:00,-5.4,44,-15.8,0,0,0,0.03,0,1024.9,1018.3,0,0,0,0,21.4,32.4,333,334,36
2022-01-04T02:00,-5.9,44,-16.1,0,0,0,0.03,0,1025.4,1018.7,0,0,0,0,19.5,29.6,332,334,36
2022-01-04T03:00,-6.1,45,-16.1,0,0,0,0.03,0,1026.1,1019.4,0,0,0,0,16.4,25.4,331,333,33.1
2022-01-04T04:00,-6.3,46,-16,0,0,0,0.03,0,1026.9,1020.2,0,0,0,0,16.7,25.2,327,329,28.4
2022-01-04T05:00,-6.5,47,-15.9,0,0,0,0.03,0,1027.4,1020.7,0,0,0,0,14.8,22.7,326,327,28.8
2022-01-04T06:00,-6.6,48,-15.8,0,0,0,0.03,0,1028.3,1021.6,0,0,0,0,13.9,21.2,323,325,25.6
2022-01-04T07:00,-6.6,50,-15.3,0,0,0,0.03,0,1028.9,1022.2,0,0,0,0,12.7,19.8,325,327,24.5
2022-01-04T08:00,-6.1,50,-15,0,0,0,0.03,0,1030.2,1023.5,0,0,0,0,14.8,20.1,331,331,22.3
2022-01-04T09:00,-6.1,51,-14.5,0,0,0,0.03,0,1030.7,1024,0,0,0,0,10.4,14.2,340,339,24.8
2022-01-04T10:00,-5,47,-14.6,0,0,0,0.03,0,1031.1,1024.4,0,0,0,0,7.2,9.4,342,342,18.4
